,,,,,CHED REVIEW,,,,,CERTIFICATE REVIEW,,,,,COMMODITY,,,,,FINALISED,
Incorrect information: Phytosanitary certificate number,Plant 4,576,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 4,576,CHED,6,Absent,Plant 4,576,Certificate,1,Absent,Plant 4,576,Certificate,1,Absent,Plant 20
AD missing,Plant 2,576,Commodity,4,AD missing,Plant 2,576,Commodity,4,Absent,Plant 2,576,Certificate,1,Absent,Plant 2,576,Certificate,1,Absent,Plant 21
Incorrect information: Commodity type incorrect,Plant 8,576,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 8,576,CHED,6,Absent,Plant 8,576,Certificate,1,Absent,Plant 8,576,Certificate,1,Absent,Plant 14
Absent,Plant 20,8576,Certificate,1,Absent,Plant 20,8576,Certificate,1,Absent,Plant 20,8576,Certificate,1,Absent,Plant 20,8576,Certificate,1,AD invalid,Plant 17
Incorrect information: Commodity type incorrect,Plant 1,8576,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 1,8576,CHED,6,Absent,Plant 1,8576,Certificate,1,Absent,Plant 1,8576,Certificate,1,Not endorsed,Plant 15
Phyto expired,Plant 2,8576,Certificate,3,Phyto expired,Plant 2,8576,Certificate,3,Absent,Plant 2,8576,Certificate,1,Absent,Plant 2,8576,Certificate,1,AD invalid,Plant 18
Incorrect information: Commodity type incorrect,Plant 21,8576,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 21,8576,CHED,6,Absent,Plant 21,8576,Certificate,1,Absent,Plant 21,8576,Certificate,1,,
Incorrect information: Commodity type incorrect,Plant 14,8890,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 14,8890,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 14,8890,CHED,6,Absent,Plant 14,8890,Certificate,1,,
Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Absent,Plant 1,a123,Certificate,1,,
Incorrect information: Phytosanitary certificate number,Plant 2,a123,Certificate,6,Incorrect information: Phytosanitary certificate number,Plant 2,a123,Certificate,6,Incorrect information: Phytosanitary certificate number,Plant 2,a123,Certificate,6,Absent,Plant 2,a123,Certificate,1,,
Incorrect information: Phytosanitary certificate number,Plant 17,a123,Certificate,6,Incorrect information: Phytosanitary certificate number,Plant 17,a123,Certificate,6,Incorrect information: Phytosanitary certificate number,Plant 17,a123,Certificate,6,AD invalid,Plant 17,a123,Commodity,5,,
Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,a123,CHED,6,Absent,Plant 1,a123,Certificate,1,,
Incorrect information: Consignor business address,Plant 4,a123,Certificate,12,Incorrect information: Phytosanitary certificate number,Plant 4,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 4,a123,CHED,6,Absent,Plant 4,a123,Certificate,1,,
Incorrect information: Phytosanitary certificate number,Plant 17,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 17,a123,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 17,a123,CHED,6,AD invalid,Plant 17,a123,Commodity,5,,
Incorrect information: Commodity type incorrect,Plant 1,a8576,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 1,a8576,CHED,6,Absent,Plant 1,a8576,Certificate,1,Absent,Plant 1,a8576,Certificate,1,,
Absent,Plant 14,a8576,Certificate,1,Absent,Plant 14,a8576,Certificate,1,Absent,Plant 14,a8576,Certificate,1,Absent,Plant 14,a8576,Certificate,1,,
Incorrect information: Commodity type incorrect,Plant 14,a8576,Commodity,10,Incorrect information: Phytosanitary certificate number,Plant 14,a8576,CHED,6,Absent,Plant 14,a8576,Certificate,1,Absent,Plant 14,a8576,Certificate,1,,
Phyto expired,Plant 5,a8576,Certificate,3,Phyto expired,Plant 5,a8576,Certificate,3,Absent,Plant 5,a8576,Certificate,1,Absent,Plant 5,a8576,Certificate,1,,
Not endorsed,Plant 2,g987,Certificate,2,Not endorsed,Plant 2,g987,Certificate,2,Not endorsed,Plant 2,g987,Certificate,2,Absent,Plant 2,g987,Certificate,1,,
Incorrect information: Net weight,Plant 15,g987,Commodity,7,Incorrect information: Phytosanitary certificate number,Plant 15,g987,CHED,6,Not endorsed,Plant 15,g987,Certificate,2,Not endorsed,Plant 15,g987,Certificate,2,,
Not endorsed,Plant 4,g987,Certificate,2,Not endorsed,Plant 4,g987,Certificate,2,Not endorsed,Plant 4,g987,Certificate,2,Absent,Plant 4,g987,Certificate,1,,
Incorrect information: Country of origin/dispatch,Plant 14,g987,Certificate,9,Incorrect information: Phytosanitary certificate number,Plant 14,g987,CHED,6,Not endorsed,Plant 14,g987,Certificate,2,Absent,Plant 14,g987,Certificate,1,,
AD invalid,Plant 17,jh789a,Commodity,5,AD invalid,Plant 17,jh789a,Commodity,5,AD invalid,Plant 17,jh789a,Commodity,5,AD invalid,Plant 17,jh789a,Commodity,5,,
AD invalid,Plant 14,jh789a,Commodity,5,AD invalid,Plant 14,jh789a,Commodity,5,AD invalid,Plant 14,jh789a,Commodity,5,Absent,Plant 14,jh789a,Certificate,1,,
Incorrect information: Number of packages,Plant 1,jh789a,Commodity,8,Incorrect information: Phytosanitary certificate number,Plant 1,jh789a,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,jh789a,CHED,6,Absent,Plant 1,jh789a,Certificate,1,,
AD invalid,Plant 17,jh789ab,Commodity,5,AD invalid,Plant 17,jh789ab,Commodity,5,AD invalid,Plant 17,jh789ab,Commodity,5,AD invalid,Plant 17,jh789ab,Commodity,5,,
AD invalid,Plant 18,jh789ab,Commodity,5,AD invalid,Plant 18,jh789ab,Commodity,5,AD invalid,Plant 18,jh789ab,Commodity,5,AD invalid,Plant 18,jh789ab,Commodity,5,,
Incorrect information: Number of packages,Plant 1,jh789ab,Commodity,8,Incorrect information: Phytosanitary certificate number,Plant 1,jh789ab,CHED,6,Incorrect information: Phytosanitary certificate number,Plant 1,jh789ab,CHED,6,Absent,Plant 1,jh789ab,Certificate,1,,
Not endorsed,Plant 2,trht757,Certificate,2,Not endorsed,Plant 2,trht757,Certificate,2,Not endorsed,Plant 2,trht757,Certificate,2,Absent,Plant 2,trht757,Certificate,1,,
Incorrect information: Net weight,Plant 15,trht757,Commodity,7,Incorrect information: Phytosanitary certificate number,Plant 15,trht757,CHED,6,Not endorsed,Plant 15,trht757,Certificate,2,Not endorsed,Plant 15,trht757,Certificate,2,,
Not endorsed,Plant 14,trht757,Certificate,2,Not endorsed,Plant 14,trht757,Certificate,2,Not endorsed,Plant 14,trht757,Certificate,2,Absent,Plant 14,trht757,Certificate,1,,
Incorrect information: Country of origin/dispatch,Plant 14,trht757,Certificate,9,Incorrect information: Phytosanitary certificate number,Plant 14,trht757,CHED,6,Not endorsed,Plant 14,trht757,Certificate,2,Absent,Plant 14,trht757,Certificate,1,,
