Application_Reference,Certificate_Number,Commodity_Line_Reference,On_Hold_Text,IPAFFS_Reason,Commodity_Name,AD Numbers
CHEP-PP1,8576,11,awfhajlwfh,Incorrect information: Country of origin/dispatch,Salvia sp.,
CHEP-PP1,8576,19,awfhajlwfh,AD missing,Leptinella sp.,
CHEP-PP1,8576,21,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Solanum tuberosum,
CHEP-PP1,8576,24,awfhajlwfh,Incorrect information: Commodity type incorrect,Other Plants,
CHEP-PP1,8576,24,awfhajlwfh,Incorrect information: Phytosanitary certificate number,,
CHEP-PP1,8576,26,kjfhajkhf,Incorrect information: Commodity type incorrect,Photinia x fraseri,
CHEP-PP1,8890,6,awfhajlwfh,Incorrect information: Consignee business address,Raoulia sp.,
CHEP-PP1,8890,20,awfhajlwfh,AD missing,Leptinella squalida,
CHEP-PP1,a123,1,AD statements incomplete,Absent,Ajuga japonica,Part A Item 6ai
CHEP-PP1,a123,1,AD statements incomplete,Incorrect information: Commodity type incorrect,Prunus sp.,Part A Item 6ai
CHEP-PP1,a123,4,"Likely to be prohibited item, full manual AD check. AD option incomplete, requires checking",Absent,Calluna sp.,"Part A Item 6ai, Part B Item 2b"
CHEP-PP1,a123,9,awfhajlwfh,AD invalid,Citrus sp.,
CHEP-PP1,a123,14,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Sedum laconicum,
CHEP-PP1,a123,15,awfhajlwfh,AD missing,Gaultheria sp.,
CHEP-PP1,a123,18,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Senecio sp.,
CHEP-PP1,a123,20,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Skimmia sp.,
CHEP-PP1,a123,22,awfhajlwfh,Incorrect information: Commodity type incorrect,Malus domestica,
CHEP-PP1,a123,23,awfhajlwfh,Incorrect information: Phytosanitary certificate number,Veronica x andersonii,
